	selection	cdr_title_num	cdr_track_num	composer_name	artist_name	track_name	track_id	popularity	year_rec	danceability	energy	valence	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	tempo	norm_energy	norm_valence	quadrant	num_users	1	2	3	4	tenderness	sadness	joy	transcendence	power	tension	fear	peace	bitterness	anger	surprise	txt_free	txt_quad	txt_mood	pref	fam
0	spanish	HEX9378	HEX9378-0003	Bebe	not found	Men señará	4YEzWT4DdODFA8afHW4Buj	38	2004	0.738	0.574	0.726	7	-9.717	1	0.0328	0.0232	0.00649	0.117	116.006	0.404719567112224	0.315544399865862	1	6.0	2.0	0.0	0.0	4.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	relaxant	Lyrics Melody_contour Slow_tempo Articulation_of_notes Slow_tempo Fast_tempo Keep_beat_with_fingers_or_feet Timbre Emotion_is_contagiousLyrics Lyrics Lyrics Harmony Melody_contour Articulation_of_notes High_sound_level Harmony Lyrics	Lyrics Lyrics Lyrics Note_durations High_sound_level Keep_beat_with_fingers_or_feet Consonance Low_sound_level	0.49916805324459235	0.1663893510815308
1	spanish	JK231055	JK231055-0003	Akatz	not found	Así Eres Tu	2nCG40Z6kynUt3gggUd6sQ	19	2009-12-04	0.922	0.541	0.706	0	-8.962	1	0.0542	0.269	0.00317	0.187	100.06	0.251756675764447	0.231757755465269	1	5.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		Changes_in_sound_level Note_durations Melody_contour Lyrics Keep_beat_with_fingers_or_feet Fast_tempo Fast_tempoTimbre Keep_beat_with_fingers_or_feet Harmony Lyrics Articulation_of_notes Harmony Harmony Major_mode	Want_to_dance_or_move Lyrics Lyrics Keep_beat_with_fingers_or_feet High_sound_level Lyrics	0.3992015968063872	0.1996007984031936
2	spanish	HEX8631	HEX8631-0001	Alacran	not found	Reflejo de Luna	3uMYlxIkokZ2iQtsFppIFL	33	2015-03-26	0.824	0.519	0.819	5	-9.386	0	0.0313	0.486	0.735	0.471	114.98	0.149781414865928	0.705152296328621	1	10.0	6.0	3.0	1.0	0.0	0.0	1.0	1.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	1.0	baile tensa pasió alegría	Articulation_of_notes Changes_in_sound_level Changes_in_sound_level Melody_contour Fast_tempo Changes_in_sound_level Keep_beat_with_fingers_or_feet Articulation_of_notes Fast_tempo Keep_beat_with_fingers_or_feet Keep_beat_with_fingers_or_feet Changes_in_sound_level Melody_contour Keep_beat_with_fingers_or_feet Want_to_dance_or_moveDissonance Expectations_or_anticipations Melody_contour Fast_tempo Dissonance Harmony Melody_contour Keep_beat_with_fingers_or_feet Want_to_dance_or_move Melody_contour Feel_like_singing Left_me_in_awe Feel_pleasure Fast_tempo	Changes_in_sound_level Dissonance Melody_contour Lyrics Fast_tempo Emotion_is_contagious Articulation_of_notes Expectations_or_anticipations Lyrics Melody_contour Emotion_is_contagious Feel_like_singing Want_to_dance_or_move Melody_contour	0.7992007992007992	0.0999000999000999
3	spanish	JK146138	JK146138-0006	Go Lem System	not found	Pura Sangre	14P1OdmogoJ6NrgIzofIH7	11	2006-04-11	0.875	0.546	0.914	2	-5.845	0	0.0446	0.148	0.0	0.107	101.967	0.274932871423201	1.10313885723144	1	4.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0		Keep_beat_with_fingers_or_feet Fast_tempo High_sound_level Keep_beat_with_fingers_or_feet Fast_tempo Melody_contourLyrics Fast_tempo Articulation_of_notes Keep_beat_with_fingers_or_feet Harmony Consonance	Melody_contour Fast_tempo Keep_beat_with_fingers_or_feet Harmony Memories_of_somebody/something	0.7481296758104738	0.24937655860349128
4	spanish	HEX8728	HEX8728-0011	Jandy Feliz	not found	Los Amores	2e0N5aHPROGNZEfwdJDVwY	19	2004-12-07	0.835	0.905	0.907	8	-5.18	1	0.111	0.294	1.02e-05	0.271	122.013	1.93898371972175	1.07381353169123	1	10.0	10.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	feliz	Articulation_of_notes Articulation_of_notes Emotion_is_contagious Melody_contour Melody_contour Fast_tempo Feel_like_singing Fast_tempo Fast_tempo Emotion_is_contagious Fast_tempo ConsonanceAssociations_to_a_thought Keep_beat_with_fingers_or_feet Major_mode Want_to_dance_or_move Melody_contour Fast_tempo High_sound_level Feel_pleasure Harmony Melody_contour Fast_tempo Emotion_is_contagious	Articulation_of_notes Want_to_dance_or_move Keep_beat_with_fingers_or_feet Lyrics Lyrics Fast_tempo Emotion_is_contagious Harmony Lyrics Fast_tempo Keep_beat_with_fingers_or_feet	0.2997002997002997	0.1998001998001998
5	spanish	HEX9378	HEX9378-0004	Martín Buscaglia	not found	Vagabundo	0KunxoqYvDVDMFnoFlJe2L	28	2006-01-01	0.866	0.527	0.79	4	-5.507	0	0.0532	0.355	0.00278	0.304	126.988	0.186863327919935	0.58366166194776	1	8.0	7.0	0.0	0.0	1.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	bailable fiesta	Melody_contour Lyrics Melody_contour High_sound_level Articulation_of_notes Feel_like_singing Feel_like_singing Fast_tempo Articulation_of_notes Tempo_variability ConsonanceMajor_mode Lyrics Lyrics High_sound_level Minor_mode Articulation_of_notes Keep_beat_with_fingers_or_feet Feel_pleasure Timbre Keep_beat_with_fingers_or_feet	Conditioned Lyrics por la mezcla de estilos musicales High_sound_level Emotion_is_contagious Music_is_stimulating Articulation_of_notes Harmony Want_to_dance_or_move Feel_pleasure	0.7490636704119851	0.12484394506866417
6	spanish	JK117515	JK117515-0001	Albert Pla	not found	El Lado Mas Bestia de la Vida	2JilhEGTNpRPIe2MvOuoAK	43	1995-07-24	0.794	0.496	0.836	0	-11.891	1	0.0613	0.723	0.000597	0.0941	102.076	0.043170914835659	0.776370944069124	1	8.0	5.0	1.0	0.0	2.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	arrogancia	Note_durations Melody_contour Timbre Melody_contour Consonance Lyrics Slow_tempo Low_sound_level Slow_tempo Lyrics Feel_like_singingLyrics Lyrics Emotion_is_contagious Facial_expressions Lyrics Consonance Lyrics Consonance Lyrics Articulation_of_notes Lyrics	Facial_expressions Lyrics Visualize_a_mental_image Lyrics Note_durations Lyrics Harmony Emotion_is_contagious Lyrics	0.4993757802746567	0.37453183520599254
7	spanish	HEX9378	HEX9378-0009	Los Pinguos	not found	Cielo Escarlata	3Z4vwUC7JM5tTJE8QifIgK	7	2006-08-01	0.698	0.775	0.961	9	-7.856	0	0.0386	0.293	0.0	0.0655	90.622	1.33640263259414	1.30003747157283	1	6.0	5.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0		Melody_contour Note_durations Emotion_is_contagious Feel_like_singing cont Timbre Keep_beat_with_fingers_or_feet Feel_like_singing Articulation_of_notes Fast_tempo High_sound_levelEmotion_is_contagious Feel_like_singing Emotion_is_contagious Emotion_is_contagious Timbre Articulation_of_notes Music_is_stimulating Harmony	Music_is_stimulating Associations_to_a_thought Lyrics Timbre Melody_contour Keep_beat_with_fingers_or_feet Lyrics Keep_beat_with_fingers_or_feet	0.49916805324459235	0.1663893510815308
8	spanish	HEX4063	HEX4063-0007	Tumbao	not found	El negro bantu	3Wr7UYZZ6wEWrK5CPVArwW	0	1995-07-27	0.715	0.723	0.962	0	-8.848	0	0.0319	0.733	0.00982	0.138	94.895	1.08697619517565	1.39561345418394	1	8.0	8.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0		Melody_contour Harmony Harmony Melody_contour Associations_to_a_thought Want_to_dance_or_move Keep_beat_with_fingers_or_feet Harmony Fast_tempo Articulation_of_notesKeep_beat_with_fingers_or_feet Emotion_is_contagious Lyrics Lyrics Changes_in_sound_level Want_to_dance_or_move Music_is_stimulating Feel_pleasure Harmony High_sound_level Melody_contour	Emotion_is_contagious Consonance Lyrics Want_to_dance_or_move Dissonance Want_to_dance_or_move Consonance Articulation_of_notes Lyrics Emotion_is_contagious Memories_of_somebody/something	0.4993757802746567	0.24968789013732834
9	spanish	HEX14100	HEX14100-0016	Pablo Carcamo	Enrique Ugarte	Cumbia p'a Bailar	58zND14kE01OKLLyZ3Ikhr	0	2017-06-23	0.821	0.682	0.963	7	-11.206	1	0.0547	0.0772	0.179	0.0395	100.955	0.911399760709797	1.39919852319503	1	7.0	6.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		Memories_of_somebody/something Articulation_of_notes Want_to_dance_or_move Melody_contour instruments Keep_beat_with_fingers_or_feet Feel_like_singing Emotion_is_contagiousEmotion_is_contagious Melody_contour Facial_expressions Keep_beat_with_fingers_or_feet Melody_contour Keep_beat_with_fingers_or_feet Articulation_of_notes Major_mode Harmony Associations_to_a_thought	Associations_to_a_thought Melody_contour Feel_like_singing Melody_contour Keep_beat_with_fingers_or_feet Melody_contour Articulation_of_notes Emotion_is_contagious Major_mode	0.5706134094151213	0.14265335235378032
