	selection	cdr_title_num	cdr_track_num	composer_name	artist_name	track_name	track_id	popularity	year_rec	danceability	energy	valence	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	tempo	norm_energy	norm_valence	quadrant
0	spanish	HEX9378	HEX9378-0003	Bebe	not found	Men señará	4YEzWT4DdODFA8afHW4Buj	38	2004	0.738	0.574	0.726	7	-9.717	1	0.0328	0.0232	0.00649	0.117	116.006	0.404719567112224	0.315544399865862	1
1	spanish	JK231055	JK231055-0003	Akatz	not found	Así Eres Tu	2nCG40Z6kynUt3gggUd6sQ	19	2009-12-04	0.922	0.541	0.706	0	-8.962	1	0.0542	0.269	0.00317	0.187	100.06	0.251756675764447	0.231757755465269	1
2	spanish	HEX8631	HEX8631-0001	Alacran	not found	Reflejo de Luna	3uMYlxIkokZ2iQtsFppIFL	33	2015-03-26	0.824	0.519	0.819	5	-9.386	0	0.0313	0.486	0.735	0.471	114.98	0.149781414865928	0.705152296328621	1
3	spanish	JK146138	JK146138-0006	Go Lem System	not found	Pura Sangre	14P1OdmogoJ6NrgIzofIH7	11	2006-04-11	0.875	0.546	0.914	2	-5.845	0	0.0446	0.148	0	0.107	101.967	0.274932871423201	1.10313885723144	1
4	spanish	HEX8728	HEX8728-0011	Jandy Feliz	not found	Los Amores	2e0N5aHPROGNZEfwdJDVwY	19	2004-12-07	0.835	0.905	0.907	8	-5.18	1	0.111	0.294	1.02E-05	0.271	122.013	1.93898371972175	1.07381353169123	1
5	spanish	HEX9378	HEX9378-0004	Martín Buscaglia	not found	Vagabundo	0KunxoqYvDVDMFnoFlJe2L	28	2006-01-01	0.866	0.527	0.79	4	-5.507	0	0.0532	0.355	0.00278	0.304	126.988	0.186863327919935	0.58366166194776	1
6	spanish	JK117515	JK117515-0001	Albert Pla	not found	El Lado Mas Bestia de la Vida	2JilhEGTNpRPIe2MvOuoAK	43	1995-07-24	0.794	0.496	0.836	0	-11.891	1	0.0613	0.723	0.000597	0.0941	102.076	0.043170914835659	0.776370944069124	1
7	spanish	HEX9378	HEX9378-0009	Los Pinguos	not found	Cielo Escarlata	3Z4vwUC7JM5tTJE8QifIgK	7	2006-08-01	0.698	0.775	0.961	9	-7.856	0	0.0386	0.293	0	0.0655	90.622	1.33640263259414	1.30003747157283	1
8	spanish	HEX4063	HEX4063-0007	Tumbao	not found	El negro bantu	3Wr7UYZZ6wEWrK5CPVArwW	0	1995-07-27	0.715	0.723	0.962	0	-8.848	0	0.0319	0.733	0.00982	0.138	94.895	1.08697619517565	1.39561345418394	1
9	spanish	HEX14100	HEX14100-0016	Pablo Carcamo	Enrique Ugarte	Cumbia p'a Bailar	58zND14kE01OKLLyZ3Ikhr	0	2017-06-23	0.821	0.682	0.963	7	-11.206	1	0.0547	0.0772	0.179	0.0395	100.955	0.911399760709797	1.39919852319503	1
10	spanish	HEX2410	HEX2410-0002	Miguel Castro	Gaston De Avila	Desde lejos	2coKYWUZYzWEyLbQcNpyIF	0	2011-07-05	0.769	0.77	0.947	5	-10.422	0	0.0529	0.39	8.23E-06	0.0768	114.446	1.28824674200236	1.34183741901759	1
11	spanish	KCX0931	KCX0931-0004	Rafa El Tachuela	Rima Nabile El-Solami	Brisa caliente	7EOKFWGkQxDgEpL9zHMljw	0	2005-01-01	0.749	0.829	0.927	0	-7.813	0	0.0368	0.839	0.0897	0.0683	107.961	1.54090551355079	1.2701360387958	1
